source_file,output_file,category,source_width,source_height,output_width,output_height,scale,reason
Assets/Sprites/Extracted/WechatIMG886/sprites_3x/ui/ui_r07_c01_3x.png,Assets/Sprites/Extracted/WechatIMG886_UnityReady/sprites_enhanced_4x/ui/ui_r07_c01_3x.png,ui,90,363,360,1452,4,"non-character extra, not present as standalone enhanced asset"
Assets/Sprites/Extracted/WechatIMG886/sprites_3x/ui/ui_r07_c02_3x.png,Assets/Sprites/Extracted/WechatIMG886_UnityReady/sprites_enhanced_4x/ui/ui_r07_c02_3x.png,ui,57,363,228,1452,4,"non-character extra, not present as standalone enhanced asset"
Assets/Sprites/Extracted/WechatIMG886/sprites_3x/props_vfx/props_vfx_r08_c01_3x.png,Assets/Sprites/Extracted/WechatIMG886_UnityReady/sprites_enhanced_4x/props_vfx/props_vfx_r08_c01_3x.png,props_vfx,72,213,288,852,4,"non-character extra, not present as standalone enhanced asset"
Assets/Sprites/Extracted/WechatIMG886/sprites_3x/props_vfx/props_vfx_r08_c02_3x.png,Assets/Sprites/Extracted/WechatIMG886_UnityReady/sprites_enhanced_4x/props_vfx/props_vfx_r08_c02_3x.png,props_vfx,48,210,192,840,4,"non-character extra, not present as standalone enhanced asset"
Assets/Sprites/Extracted/WechatIMG886/sprites_3x/props_vfx/props_vfx_r08_c04_3x.png,Assets/Sprites/Extracted/WechatIMG886_UnityReady/sprites_enhanced_4x/props_vfx/props_vfx_r08_c04_3x.png,props_vfx,90,207,360,828,4,"non-character extra, not present as standalone enhanced asset"
Assets/Sprites/Extracted/WechatIMG886/sprites_3x/props_vfx/props_vfx_r08_c05_3x.png,Assets/Sprites/Extracted/WechatIMG886_UnityReady/sprites_enhanced_4x/props_vfx/props_vfx_r08_c05_3x.png,props_vfx,87,207,348,828,4,"non-character extra, not present as standalone enhanced asset"
Assets/Sprites/Extracted/WechatIMG886/sprites_3x/props_vfx/props_vfx_r08_c06_3x.png,Assets/Sprites/Extracted/WechatIMG886_UnityReady/sprites_enhanced_4x/props_vfx/props_vfx_r08_c06_3x.png,props_vfx,144,177,576,708,4,"non-character extra, not present as standalone enhanced asset"
